Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.33965599226133625
75% Corpus,2,0.01,0.31,0.31855778254876466
75% Corpus,2,0.01,0.61,0.3215384166814068
75% Corpus,2,0.01,0.9099999999999999,0.32851548661560936
75% Corpus,2,0.01,symmetric,0.3192396261908297
75% Corpus,2,0.31,0.01,0.2974695201562154
75% Corpus,2,0.31,0.31,0.3068368323077451
75% Corpus,2,0.31,0.61,0.2929069632159933
75% Corpus,2,0.31,0.9099999999999999,0.31017032823136603
75% Corpus,2,0.31,symmetric,0.32145066923159876
75% Corpus,2,0.61,0.01,0.3283605265719862
75% Corpus,2,0.61,0.31,0.31646085066066676
75% Corpus,2,0.61,0.61,0.3007862689256862
75% Corpus,2,0.61,0.9099999999999999,0.35506102137055473
75% Corpus,2,0.61,symmetric,0.3618236023462629
75% Corpus,2,0.9099999999999999,0.01,0.3468874266775809
75% Corpus,2,0.9099999999999999,0.31,0.35043494347929977
75% Corpus,2,0.9099999999999999,0.61,0.34838383818518914
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3335821392292815
75% Corpus,2,0.9099999999999999,symmetric,0.3513933216645625
75% Corpus,2,symmetric,0.01,0.33272052880926445
75% Corpus,2,symmetric,0.31,0.3454133717409418
75% Corpus,2,symmetric,0.61,0.34523313575878056
75% Corpus,2,symmetric,0.9099999999999999,0.33707795125964757
75% Corpus,2,symmetric,symmetric,0.35840651465994444
75% Corpus,2,asymmetric,0.01,0.35108973077519817
75% Corpus,2,asymmetric,0.31,0.383175079520062
75% Corpus,2,asymmetric,0.61,0.3311636325149211
75% Corpus,2,asymmetric,0.9099999999999999,0.33116363251492104
75% Corpus,2,asymmetric,symmetric,0.37364696986942114
75% Corpus,3,0.01,0.01,0.34690104842397734
75% Corpus,3,0.01,0.31,0.3238043336841417
75% Corpus,3,0.01,0.61,0.332924097008483
75% Corpus,3,0.01,0.9099999999999999,0.36022813204382764
75% Corpus,3,0.01,symmetric,0.32895548548697845
75% Corpus,3,0.31,0.01,0.31627129483086125
75% Corpus,3,0.31,0.31,0.3204219598161048
75% Corpus,3,0.31,0.61,0.3397615504728099
75% Corpus,3,0.31,0.9099999999999999,0.3688480834670524
75% Corpus,3,0.31,symmetric,0.32257544206814853
