Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.9099999999999999,-12.145342743746417
75% Corpus,3,symmetric,symmetric,-10.800102421260389
75% Corpus,3,asymmetric,0.01,-8.303006088886384
75% Corpus,3,asymmetric,0.31,-11.443047182139063
75% Corpus,3,asymmetric,0.61,-11.00013145064291
75% Corpus,3,asymmetric,0.9099999999999999,-12.621136836482593
75% Corpus,3,asymmetric,symmetric,-11.554627578414014
75% Corpus,4,0.01,0.01,-9.92917122280842
75% Corpus,4,0.01,0.31,-10.541551423666082
75% Corpus,4,0.01,0.61,-11.12632973998434
75% Corpus,4,0.01,0.9099999999999999,-11.381227718773893
75% Corpus,4,0.01,symmetric,-10.612353110392583
75% Corpus,4,0.31,0.01,-10.23651174984184
75% Corpus,4,0.31,0.31,-10.919702773584714
75% Corpus,4,0.31,0.61,-11.081097143012261
75% Corpus,4,0.31,0.9099999999999999,-12.002536619224326
75% Corpus,4,0.31,symmetric,-11.084476491506537
75% Corpus,4,0.61,0.01,-10.30985812567538
75% Corpus,4,0.61,0.31,-11.87365858461997
75% Corpus,4,0.61,0.61,-11.580004085212273
75% Corpus,4,0.61,0.9099999999999999,-11.606350122648305
75% Corpus,4,0.61,symmetric,-11.11692839754967
75% Corpus,4,0.9099999999999999,0.01,-9.69519173048523
75% Corpus,4,0.9099999999999999,0.31,-10.7664494104433
75% Corpus,4,0.9099999999999999,0.61,-10.059107089889487
75% Corpus,4,0.9099999999999999,0.9099999999999999,-10.98837611550602
75% Corpus,4,0.9099999999999999,symmetric,-10.14577906164297
75% Corpus,4,symmetric,0.01,-10.458147957010436
75% Corpus,4,symmetric,0.31,-11.703432502358167
75% Corpus,4,symmetric,0.61,-11.592196479145768
75% Corpus,4,symmetric,0.9099999999999999,-12.877969023861713
75% Corpus,4,symmetric,symmetric,-11.378128536081062
75% Corpus,4,asymmetric,0.01,-9.985466580132018
75% Corpus,4,asymmetric,0.31,-11.722614529776706
75% Corpus,4,asymmetric,0.61,-11.976941882970594
75% Corpus,4,asymmetric,0.9099999999999999,-13.769836732041146
75% Corpus,4,asymmetric,symmetric,-10.99586637065525
75% Corpus,5,0.01,0.01,-10.80684112123399
75% Corpus,5,0.01,0.31,-11.429197901306642
75% Corpus,5,0.01,0.61,-12.221364269751248
75% Corpus,5,0.01,0.9099999999999999,-13.033306010920446
75% Corpus,5,0.01,symmetric,-11.181187215862652
75% Corpus,5,0.31,0.01,-10.944132653179446
75% Corpus,5,0.31,0.31,-11.52307966613987
75% Corpus,5,0.31,0.61,-12.080447563258476
75% Corpus,5,0.31,0.9099999999999999,-12.60118900453423
75% Corpus,5,0.31,symmetric,-11.42031680675215
75% Corpus,5,0.61,0.01,-10.650425873788597
75% Corpus,5,0.61,0.31,-10.603278673701679
75% Corpus,5,0.61,0.61,-10.770232792261698
75% Corpus,5,0.61,0.9099999999999999,-11.152119317353558
75% Corpus,5,0.61,symmetric,-11.368849996680765
75% Corpus,5,0.9099999999999999,0.01,-10.244087184717296
75% Corpus,5,0.9099999999999999,0.31,-11.228627617339377
75% Corpus,5,0.9099999999999999,0.61,-11.509796896579445
75% Corpus,5,0.9099999999999999,0.9099999999999999,-10.826537645617051
75% Corpus,5,0.9099999999999999,symmetric,-11.16597030444701
75% Corpus,5,symmetric,0.01,-10.643101438055663
75% Corpus,5,symmetric,0.31,-12.388809193813263
75% Corpus,5,symmetric,0.61,-12.376490809841263
75% Corpus,5,symmetric,0.9099999999999999,-12.967467497533192
75% Corpus,5,symmetric,symmetric,-11.063654981579091
75% Corpus,5,asymmetric,0.01,-8.824936145574757
75% Corpus,5,asymmetric,0.31,-11.522129371884011
75% Corpus,5,asymmetric,0.61,-12.985626508591958
75% Corpus,5,asymmetric,0.9099999999999999,-15.294984723081797
75% Corpus,5,asymmetric,symmetric,-11.664402916201396
75% Corpus,6,0.01,0.01,-11.015418946382772
75% Corpus,6,0.01,0.31,-12.335331250481614
75% Corpus,6,0.01,0.61,-12.91413863432291
75% Corpus,6,0.01,0.9099999999999999,-14.16416626694417
75% Corpus,6,0.01,symmetric,-12.964765412858144
75% Corpus,6,0.31,0.01,-11.655742342887125
75% Corpus,6,0.31,0.31,-13.26921196332483
75% Corpus,6,0.31,0.61,-13.158512787541488
75% Corpus,6,0.31,0.9099999999999999,-13.739947415851823
75% Corpus,6,0.31,symmetric,-13.187501738670784
75% Corpus,6,0.61,0.01,-10.75046323085382
75% Corpus,6,0.61,0.31,-12.156418752604756
75% Corpus,6,0.61,0.61,-12.242690034899573
