Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,asymmetric,0.61,0.4932673268961191
75% Corpus,10,asymmetric,0.9099999999999999,0.4930787651871119
75% Corpus,10,asymmetric,symmetric,0.4989501269623943
100% Corpus,2,0.01,0.01,0.41074847229773015
100% Corpus,2,0.01,0.31,0.3808348985661174
100% Corpus,2,0.01,0.61,0.38637328555910966
100% Corpus,2,0.01,0.9099999999999999,0.3886297073728826
100% Corpus,2,0.01,symmetric,0.4445972754915416
100% Corpus,2,0.31,0.01,0.4241879425851245
100% Corpus,2,0.31,0.31,0.40916704806044457
100% Corpus,2,0.31,0.61,0.40694042971085176
100% Corpus,2,0.31,0.9099999999999999,0.39041006922004784
100% Corpus,2,0.31,symmetric,0.4088090247346262
100% Corpus,2,0.61,0.01,0.43997028115658343
100% Corpus,2,0.61,0.31,0.39069145567758606
100% Corpus,2,0.61,0.61,0.4132531062050162
100% Corpus,2,0.61,0.9099999999999999,0.4354404003310429
100% Corpus,2,0.61,symmetric,0.40538249621257777
100% Corpus,2,0.9099999999999999,0.01,0.38481887145935734
100% Corpus,2,0.9099999999999999,0.31,0.38956377609652876
100% Corpus,2,0.9099999999999999,0.61,0.44230141617852636
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4300800225802655
100% Corpus,2,0.9099999999999999,symmetric,0.44230141617852636
100% Corpus,2,symmetric,0.01,0.4051199596391536
100% Corpus,2,symmetric,0.31,0.4242155168177524
100% Corpus,2,symmetric,0.61,0.3986059829680966
100% Corpus,2,symmetric,0.9099999999999999,0.46842333346420023
100% Corpus,2,symmetric,symmetric,0.4074025498393105
100% Corpus,2,asymmetric,0.01,0.4309113104293446
100% Corpus,2,asymmetric,0.31,0.5157145038937521
100% Corpus,2,asymmetric,0.61,0.4984126017855814
100% Corpus,2,asymmetric,0.9099999999999999,0.5199965879371928
100% Corpus,2,asymmetric,symmetric,0.49616911907851524
100% Corpus,3,0.01,0.01,0.39427862969596017
100% Corpus,3,0.01,0.31,0.4200882930916228
100% Corpus,3,0.01,0.61,0.3911310659693768
100% Corpus,3,0.01,0.9099999999999999,0.37066226754433984
100% Corpus,3,0.01,symmetric,0.43407660797390896
100% Corpus,3,0.31,0.01,0.4282855677827146
100% Corpus,3,0.31,0.31,0.44210085567043694
100% Corpus,3,0.31,0.61,0.5323056576546437
100% Corpus,3,0.31,0.9099999999999999,0.4064057007531496
100% Corpus,3,0.31,symmetric,0.42334745940503943
100% Corpus,3,0.61,0.01,0.3851408913519578
100% Corpus,3,0.61,0.31,0.40894166198322496
100% Corpus,3,0.61,0.61,0.3973897638281018
100% Corpus,3,0.61,0.9099999999999999,0.41876007773627605
100% Corpus,3,0.61,symmetric,0.41013502882378283
100% Corpus,3,0.9099999999999999,0.01,0.3898405953744657
100% Corpus,3,0.9099999999999999,0.31,0.5111561753693175
100% Corpus,3,0.9099999999999999,0.61,0.41160349489921194
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4347527390840544
100% Corpus,3,0.9099999999999999,symmetric,0.5072630972773066
100% Corpus,3,symmetric,0.01,0.42017159384222397
100% Corpus,3,symmetric,0.31,0.4387653269492085
100% Corpus,3,symmetric,0.61,0.5059047363052227
100% Corpus,3,symmetric,0.9099999999999999,0.44257012915425853
100% Corpus,3,symmetric,symmetric,0.3792888142329341
100% Corpus,3,asymmetric,0.01,0.41511767285208895
100% Corpus,3,asymmetric,0.31,0.5223374552662717
100% Corpus,3,asymmetric,0.61,0.5037456874280234
100% Corpus,3,asymmetric,0.9099999999999999,0.5088056756332525
100% Corpus,3,asymmetric,symmetric,0.4874227119246572
100% Corpus,4,0.01,0.01,0.42635080666897773
100% Corpus,4,0.01,0.31,0.4429994215299817
100% Corpus,4,0.01,0.61,0.48627180545568055
100% Corpus,4,0.01,0.9099999999999999,0.42659483569331325
100% Corpus,4,0.01,symmetric,0.45453229230524017
100% Corpus,4,0.31,0.01,0.4507026352946379
100% Corpus,4,0.31,0.31,0.4761836981283469
100% Corpus,4,0.31,0.61,0.4657561887833844
100% Corpus,4,0.31,0.9099999999999999,0.41898185757471995
100% Corpus,4,0.31,symmetric,0.46783065791179457
100% Corpus,4,0.61,0.01,0.41139570490074506
100% Corpus,4,0.61,0.31,0.4255755875068614
